KabKota,PDRB,PAD,DAU,DAK,DBH,PoorPercentage,IPM,Long,Lat,logPDRB,logPAD,logDAU,logDAK,logDBH
Kab. Simeulue,1897,61.095,436.069,150.802,17.748,20.2,64.41,96.06564754,2.631910736,7.54802897,4.11243003,6.077800488,5.015967718,2.876272834
Kab. Aceh Singkil,2149,43.441,429.418,140.824,19.525,22.11,67.37,97.95761946,2.384771553,7.672757897,3.771403696,6.062430804,4.947510884,2.971695696
Kab. Aceh Selatan,4856,140.875,638.16,296.838,16.223,14.07,65.03,97.43537796,3.162894273,8.487970333,4.947872972,6.458589036,5.693186535,2.786429988
Kab. Aceh Tenggara,4265,60.053,584.229,191.164,15.407,14.86,68.09,97.69553799,3.369610148,8.35819746,4.095227506,6.370293029,5.253131698,2.734821952
Kab. Aceh Timur,9088,152.401,777.993,199.824,65.339,15.25,66.32,97.62889307,4.629134667,9.114710141,5.026515205,6.656717527,5.297436979,4.179589101
Kab. Aceh Tengah,6722,163.001,602.54,257.914,15.362,16.84,72.19,96.8589941,4.530069026,8.813141008,5.093756336,6.401154053,5.552626196,2.731896928
Kab. Aceh Barat,6943,161.743,570.327,175.556,23.072,20.28,70.2,96.18545252,4.456640942,8.845489237,5.086008656,6.346209881,5.16795808,3.138619761
Kab. Aceh Besar,11633,145.464,708.009,214.076,22.187,15.41,72,95.52901053,5.37080855,9.361601166,4.979928633,6.562456805,5.366331092,3.099506532
Kab. Pidie,9188,267.608,794.949,256.551,21.159,21.43,69.52,96.00720596,5.068158616,9.125653564,5.589523223,6.678277962,5.547327475,3.052065347
Kab. Bireun,11408,192.94,802.507,328.427,25.182,15.87,71.11,96.6092168,5.093464738,9.342070143,5.26237926,6.687740578,5.794314591,3.226129454
Kab. Aceh Utara,17659,202.092,837.37,273.832,217.404,19.78,67.67,97.18188333,5.014912306,9.779000847,5.308723039,6.730266028,5.61251478,5.381757374
Kab. Aceh Barat Daya,3395,91.571,451.014,150.07,15.088,18.31,65.09,96.87832714,3.824908771,8.13005904,4.517114628,6.111498381,5.011101852,2.713899726
Kab. Gayo Lues,2439,60.312,462.943,89.868,18.747,21.97,65.01,97.35753204,3.981925986,7.799343398,4.099531089,6.137603936,4.498341927,2.93103374
Kab. Aceh Tamiang,6517,116.246,532.642,136.357,103.297,14.69,67.99,97.97702036,4.22787571,8.782169426,4.755708635,6.277849529,4.915276446,4.637608334
Kab. Nagan Raya,6571,74.051,506.545,53.772,18.809,19.34,67.78,96.5067815,4.155405593,8.790421307,4.304754045,6.227613165,3.984752886,2.934335479
Kab. Aceh Jaya,2278,52.6,418.436,132.371,14.327,14.85,68.07,95.67915496,4.832201193,7.731053144,3.96271612,6.036523951,4.885608586,2.662145869
Kab. Bener Meriah,3998,82.038,448.947,105.793,16.839,21.14,71.89,97.00729604,4.767234573,8.293549515,4.407182555,6.106904841,4.661484355,2.823697625
Kab. Pidie Jaya,3013,47.409,420.521,157.596,15.544,21.82,71.73,96.21675202,5.124548088,8.010691539,3.858812084,6.041494419,5.060034796,2.743674712
Kota Banda Aceh,16808,270.171,591.712,105.783,40.256,7.44,83.95,95.32681431,5.559296307,9.729610243,5.599055092,6.38302003,4.661389826,3.695259061
Kota Sabang,1273,55.081,348.745,71.005,16.269,17.66,74.1,95.30622299,5.837404377,7.149131599,4.008804829,5.854340996,4.262750297,2.789261457
Kota Langsa,4543,120.139,444.013,211.722,21.457,11.24,75.89,97.98184433,4.482729389,8.421342866,4.788649406,6.095853841,5.355274093,3.066050932
Kota Lhokseumawe,8071,62.986,459.628,135.32,49.266,12.32,76.34,97.11031297,5.164494794,8.996032669,4.142912479,6.130417467,4.907642344,3.897234188
Kota Subulussalam,1540,56.52,343.605,136.37,14.817,19.71,62.88,97.93722438,2.735616806,7.339537695,4.034594558,5.839492742,4.91537178,2.69577517
Kab. Nias,3234,95.726,425.974,162.195,11.324,18.11,60.21,97.77966893,1.030294463,8.08147504,4.561489944,6.054378312,5.088799315,2.426924367
Kab. Mandailing Natal,11713,80.582,777.488,246.755,21.321,11.02,65.13,99.36967978,0.774296083,9.368454615,4.3892753,6.65606821,5.508395942,3.059692503
Kab. Tapanuli Selatan,11983,104.723,644.304,160.299,28.424,10.6,68.69,99.25842324,1.489801587,9.391244258,4.651318769,6.468170664,5.077040821,3.347233859
Kab. Tapanuli Tengah,8555,72.71,622.385,209.061,18.33,14.66,67.96,98.66643445,1.841411989,9.054271186,4.286478927,6.433558872,5.342626075,2.908539062
Kab. Tapanuli Utara,6766,162.442,639.394,160.718,28.249,11.35,72.38,99.07200944,1.988804997,8.819665349,5.090321015,6.460520853,5.079651276,3.341058059
Kab. Toba Samosir,6656,54.841,528.491,207.842,17.15,10.19,73.87,99.26420807,2.379733977,8.803273983,4.004438089,6.270025776,5.336778176,2.841998174
Kab. Labuhan Batu,29031,124.674,684.408,176.515,47.66,8.89,71,100.0562464,2.27793439,10.2761195,4.825702331,6.528554231,5.173405859,3.864092472
Kab. Asahan,32023,123.687,875.86,205.087,56.352,11.67,69.1,99.566243,2.804934618,10.37420967,4.817754181,6.775206261,5.323434279,4.031617732
Kab. Simalungun,32860,252.663,1209.195,404.799,37.92,10.65,71.83,99.03350211,2.976591025,10.40001139,5.532056585,7.097710128,6.003390648,3.635478677
Kab. Dairi,8045,128.49,612.746,160.825,16.431,8.87,70.36,98.26712544,2.843815622,8.992806059,4.85585108,6.417950494,5.080316817,2.799169794
Kab. Karo,18061,157.867,738.378,132.696,17.886,9.97,73.53,98.29603229,3.120679964,9.801510196,5.061752906,6.604455889,4.888060798,2.884018284
Kab. Deli Serdang,93194,849.286,1468.562,459.51,59.488,4.62,73.94,98.69406477,3.480096356,11.44243862,6.744395996,7.29203897,6.130160704,4.085774612
Kab. Langkat,37023,139.718,1179.393,411.765,183.358,11.15,69.82,98.22013175,3.709324636,10.51929462,4.939626105,7.072755178,6.020452798,5.211440526
Kab. Nias Selatan,5684,18.45,538.283,218.308,12.027,18.48,59.85,97.74076944,0.791084028,8.645410489,2.91506437,6.288384444,5.38590691,2.487154122
Kab. Humbang Hasundutan,5125,85.598,523.818,182.473,13.642,9.85,67.3,98.57144244,2.27124006,8.541885804,4.449661918,6.261144296,5.206602217,2.613153269
Kab. Pakpak Bharat,996,29.32,338.611,79.656,10.455,10.53,66.25,98.24065093,2.554131499,6.903747258,3.378269877,5.824851956,4.377717363,2.347080333
Kab. Samosir,3751,72.229,453.737,167.496,12.773,14.72,69.43,98.81800943,2.582895406,8.22977775,4.279841627,6.117517735,5.12095947,2.547333568
Kab. Serdang Bedagai,24095,103.711,763.717,224.242,36.189,9.3,69.16,99.05952498,3.365651851,10.08975963,4.641608185,6.638197302,5.412725826,3.588755205
Kab. Batu Bara,29962,66.945,602.464,155.854,23.679,12.48,67.2,99.47503056,3.233993854,10.30768519,4.203871387,6.401027913,5.048919672,3.164588579
Kab. Padang Lawas Utara,9903,74.525,537.47,148.838,23.026,10.7,68.34,99.75671786,1.592940458,9.200593021,4.31113464,6.286872944,5.002858466,3.136624012
Kab. Padang Lawas,9694,46.51,520.975,148.094,27.222,9.1,66.82,99.84412085,1.1404036,9.179262416,3.839667343,6.255702056,4.997847207,3.30402547
Kab. Labuhan Batu Selatan,23196,84.964,504.526,142.38,45.63,11.63,70.48,100.1305365,1.838874086,10.05173513,4.442227637,6.223619375,4.95849954,3.820565395
Kab. Labuhan Batu Utara,21162,52.69,588.022,226.697,24.754,11.28,70.79,99.75247186,2.40629702,9.959962399,3.964425684,6.376764362,5.423614324,3.208987092
Kab. Nias Utara,3008,20.107,411.036,132.619,12.052,29.06,60.57,97.35651653,1.312737189,8.009030685,3.001068013,6.018680802,4.887480356,2.489230621
Kab. Nias Barat,1549,36.24,344.492,152.138,10.179,27.23,59.56,97.50233253,1.036882251,7.34536484,3.590163481,5.842070868,5.024788004,2.320326774
Kota Sibolga,4645,103.672,405.554,70.813,14.132,13.69,72.28,98.78796615,1.741080111,8.443546651,4.641232069,6.005254034,4.2600426,2.648441729
Kota Tanjung Balai,7425,65.108,415.172,83.066,13.045,14.46,67.41,99.79498815,2.96441582,8.912607964,4.17604743,6.028692892,4.419635473,2.568404919
Kota Pematang Siantar,12444,105.446,583.106,119.184,25.694,10.1,77.54,99.05876402,2.962202865,9.428993858,4.658198974,6.368368988,4.780668517,3.246257502
Kota Tebing Tinggi,5123,113.223,408.721,143.607,14.59,11.9,73.9,99.15570865,3.328360247,8.541495484,4.729359325,6.013032772,4.967080402,2.680336363
Kota Medan,204300,1739.757,1583.624,339.824,199.321,9.11,79.98,98.66798495,3.627658993,12.22734478,7.461500727,7.36747117,5.828427837,5.29491659
Kota Binjai,9858,139.218,564.378,100.754,24.32,6.75,74.65,98.48871137,3.599492108,9.196038587,4.93604105,6.33572424,4.612681902,3.191299057
Kota Padang Sidempuan,5373,109.64,498.768,156.53,17.891,8.25,73.81,99.28079796,1.396311964,8.589141691,4.697202271,6.212141058,5.053247685,2.884297793
Kota Gunungsitoli,4504,29.77,426.631,108.752,11.465,21.66,67.68,97.58246639,1.2669824,8.41272117,3.393501175,6.055919471,4.689070061,2.439298916
Kab. Kepulauan Mentawai,4098,67.863,591.34,119.345,20.701,14.67,59.25,98.9280512,-1.374916317,8.318254329,4.217490967,6.382391148,4.782018458,3.030182008
Kab. Pesisir Selatan,12522,176.903,838.1,248.45,22.704,7.79,68.74,100.8816778,-1.73927093,9.435242376,5.17560156,6.731137425,5.515241618,3.12254112
Kab. Solok,11949,113.27,710.963,187.337,13.597,9.06,67.86,100.8187208,-0.962425115,9.388402872,4.729774349,6.566620389,5.232909134,2.60984918
Kab. Sijunjung,7980,107.916,548.573,150.675,11.357,7.35,66.6,101.0895109,-0.684085781,8.98469369,4.681353147,6.307320361,5.015125199,2.429834294
Kab. Tanah Datar,11620,172.812,695.556,216.912,16.513,5.56,70.37,100.5832051,-0.460703318,9.36048303,5.152204298,6.544711526,5.379491741,2.804147949
Kab. Padang Pariaman,19205,141.311,769.827,277.237,12.5,8.46,68.9,100.2276832,-0.562366898,9.862925941,4.950963135,6.646165814,5.624872736,2.525728644
Kab. Agam,18218,161.539,813.475,243.274,21.29,7.59,71.1,100.1706784,-0.249950569,9.810165395,5.0847466,6.701315195,5.49418838,3.058237479
Kab. Lima Puluh Kota,13772,119.772,747.893,225.382,18.777,7.15,68.69,100.5673633,0.024117772,9.530392824,4.785589935,6.61725992,5.41779674,2.932632717
Kab. Pasaman,8050,142.748,596.083,158.077,12.905,7.41,64.94,100.08276,0.387292073,8.99342737,4.961080838,6.390379919,5.063082256,2.557614833
Kab. Solok Selatan,4991,75.506,480.406,146.847,14.714,7.21,67.81,101.2525787,-1.406356453,8.515391569,4.324212123,6.17463158,4.989391228,2.688799422
Kab. Dharmasraya,9282,98.937,501.682,181.969,13.256,6.68,70.4,101.5541936,-1.130987218,9.13583232,4.594483284,6.217966453,5.203836343,2.58445028
Kab. Pasaman Barat,14068,158.921,644.334,167.928,22.909,7.26,66.83,99.67856521,0.206958846,9.551657994,5.068407223,6.468217225,5.123535316,3.131529846
Kota Padang,53883,548.653,1100.371,193.746,66.175,4.74,81.58,100.4359012,-0.895257702,10.89457031,6.307466183,7.003402675,5.266548023,4.192302748
Kota Solok,3548,41.853,398.106,61.708,12.689,3.66,77.44,100.6303651,-0.782350945,8.174139343,3.734163479,5.986718301,4.122413582,2.540735476
Kota Sawah Lunto,3235,62.46,375.131,75.861,16.165,2.01,71.13,100.7570309,-0.653771551,8.081784207,4.134526352,5.927275298,4.328902718,2.782848411
Kota Padang Panjang,3029,88.837,375.436,53.108,10.974,6.17,77.01,100.4037158,-0.47119416,8.015987811,4.48680323,5.928088017,3.972327576,2.395528839
Kota Bukittinggi,7453,102.376,450.906,49.803,15.52,5.35,79.8,100.3720423,-0.30009878,8.916371915,4.62865231,6.111258892,3.908075223,2.742129515
Kota Payakumbuh,5761,116.596,437.697,94.217,13.378,5.88,77.91,100.6309808,-0.226071557,8.65886635,4.758714968,6.08152689,4.545600632,2.593611567
Kota Pariaman,4387,30.882,415.241,85.581,14.355,5.2,75.71,100.1373101,-0.607562482,8.386400901,3.43017349,6.028859075,4.449463296,2.664098314
Kab. Kuantan Singingi,29517,108.028,600.606,187.775,174.471,9.97,69.53,101.5034783,-0.47882173,10.29272165,4.682390453,6.397939146,5.235244438,5.161758539
Kab. Indragiri Hulu,38738,159.666,630.242,198.762,223.042,6.94,68.97,102.3275739,-0.53319081,10.56457631,5.073084133,6.446103873,5.292108129,5.407360095
Kab. Indragiri Hilir,61077,214.785,895.989,219.798,167.658,7.7,66.17,103.1210073,-0.221271127,11.01989064,5.369637528,6.797928136,5.392708943,5.12192619
Kab. Pelalawan,43862,181.809,598.16,149.858,328.785,10.25,70.59,102.2390358,0.208422213,10.68880362,5.202956685,6.393858277,5.009688179,5.795404042
Kab. Siak,79613,267.444,264.714,153.901,737.428,5.8,73.18,101.8248958,0.826469927,11.28493268,5.588910199,5.578649998,5.036309539,6.603168456
Kab. Kampar,71590,316.433,728.616,300.188,496.223,8.02,72.19,101.0721148,0.325620441,11.17871068,5.757111529,6.591146844,5.704408945,6.207025422
Kab. Rokan Hulu,31038,199.642,640.9,167.66,203.838,10.91,68.67,100.4757434,0.939540496,10.34296754,5.296525763,6.462873439,5.121938119,5.317325561
Kab. Bengkalis,133036,271.866,345.071,51.402,2194.886,6.85,72.27,101.5889599,1.272959604,11.79837505,5.605309298,5.843750193,3.939677082,7.693885388
Kab. Rokan Hilir,74552,175.97,364.152,163.417,565.892,7.88,67.84,100.7455076,1.76412649,11.21925215,5.170313526,5.897571363,5.096305216,6.338403247
Kab. Kepulauan Meranti,16731,80.941,375.397,155.457,193.39,28.99,64.7,102.7311694,0.86731809,9.725018565,4.393720494,5.927984133,5.046369166,5.264708875
Kota Pekan Baru,101344,697.467,784.377,205.161,232.71,3.05,79.97,101.4644363,0.549889538,11.52627595,6.547455201,6.664889772,5.323795037,5.449793043
Kota Dumai,30304,265.473,408.644,162.541,184.408,4.57,73.46,101.3116539,1.797664964,10.319035,5.581513141,6.012844361,5.090930278,5.217150694
