No.,PROVNO,PROVINSI,Kabupaten/Kota
1,11,ACEH,Kab. Simeulue
2,11,ACEH,Kab. Aceh Singkil
3,11,ACEH,Kab. Aceh Singkil
4,11,ACEH,Kab. Aceh Selatan
5,11,ACEH,Kab. Aceh Tenggara
6,11,ACEH,Kab. Aceh Timur
7,11,ACEH,Kab. Aceh Tengah
8,11,ACEH,Kab. Aceh Barat
9,11,ACEH,Kab. Aceh Besar
10,11,ACEH,Kab. Pidie
11,11,ACEH,Kab. Bireun
12,11,ACEH,Kab. Aceh Utara
13,11,ACEH,Kab. Aceh Barat Daya
14,11,ACEH,Kab. Gayo Lues
15,11,ACEH,Kab. Aceh Tamiang
16,11,ACEH,Kab. Nagan Raya
17,11,ACEH,Kab. Aceh Jaya
18,11,ACEH,Kab. Bener Meriah
19,11,ACEH,Kab. Pidie Jaya
20,11,ACEH,Kota Banda Aceh
21,11,ACEH,Kota Sabang
22,11,ACEH,Kota Langsa
23,11,ACEH,Kota Lhokseumawe
24,11,ACEH,Kota Subulussalam
25,12,SUMATERA UTARA,Kab. Nias
26,12,SUMATERA UTARA,Kab. Mandailing Natal
27,12,SUMATERA UTARA,Kab. Tapanuli Selatan
28,12,SUMATERA UTARA,Kab. Tapanuli Tengah
29,12,SUMATERA UTARA,Kab. Tapanuli Utara
30,12,SUMATERA UTARA,Kab. Toba Samosir
31,12,SUMATERA UTARA,Kab. Labuhan Batu
32,12,SUMATERA UTARA,Kab. Asahan
33,12,SUMATERA UTARA,Kab. Simalungun
34,12,SUMATERA UTARA,Kab. Dairi
35,12,SUMATERA UTARA,Kab. Karo
36,12,SUMATERA UTARA,Kab. Deli Serdang
37,12,SUMATERA UTARA,Kab. Langkat
38,12,SUMATERA UTARA,Kab. Nias Selatan
39,12,SUMATERA UTARA,Kab. Humbang Hasundutan
40,12,SUMATERA UTARA,Kab. Pakpak Bharat
41,12,SUMATERA UTARA,Kab. Samosir
42,12,SUMATERA UTARA,Kab. Serdang Bedagai
43,12,SUMATERA UTARA,Kab. Batu Bara
44,12,SUMATERA UTARA,Kab. Padang Lawas Utara
45,12,SUMATERA UTARA,Kab. Padang Lawas
46,12,SUMATERA UTARA,Kab. Labuhan Batu Selatan
47,12,SUMATERA UTARA,Kab. Labuhan Batu Utara
48,12,SUMATERA UTARA,Kab. Nias Utara
49,12,SUMATERA UTARA,Kab. Nias Barat
50,12,SUMATERA UTARA,Kota Sibolga
51,12,SUMATERA UTARA,Kota Tanjung Balai
52,12,SUMATERA UTARA,Kota Pematang Siantar
53,12,SUMATERA UTARA,Kota Tebing Tinggi
54,12,SUMATERA UTARA,Kota Medan
55,12,SUMATERA UTARA,Kota Binjai
56,12,SUMATERA UTARA,Kota Padang Sidempuan
57,12,SUMATERA UTARA,Kota Gunungsitoli
58,13,SUMATERA BARAT,Kab. Kepulauan Mentawai
59,13,SUMATERA BARAT,Kab. Pesisir Selatan
60,13,SUMATERA BARAT,Kab. Solok
61,13,SUMATERA BARAT,Kab. Sijunjung
62,13,SUMATERA BARAT,Kab. Tanah Datar
63,13,Sumatera Barat,Kab. Padang Pariaman
64,13,SUMATERA BARAT,Kab. Agam
65,13,SUMATERA BARAT,Kab. Lima Puluh Kota
66,13,SUMATERA BARAT,Kab. Pasaman
67,13,SUMATERA BARAT,Kab. Solok Selatan
68,13,SUMATERA BARAT,Kab. Dharmasraya
69,13,SUMATERA BARAT,Kab. Pasaman Barat
70,13,SUMATERA BARAT,Kota Padang
71,13,SUMATERA BARAT,Kota Solok
72,13,SUMATERA BARAT,Kota Sawah Lunto
73,13,SUMATERA BARAT,Kota Padang Panjang
74,13,SUMATERA BARAT,Kota Bukittinggi
75,13,SUMATERA BARAT,Kota Payakumbuh
76,13,SUMATERA BARAT,Kota Pariaman
77,14,RIAU,Kab. Kuantan Singingi
78,14,RIAU,Kab. Indragiri Hulu
79,14,RIAU,Kab. Indragiri Hilir
80,14,RIAU,Kab. Pelalawan
81,14,RIAU,Kab. Siak
82,14,RIAU,Kab. Kampar
83,14,RIAU,Kab. Rokan Hulu
84,14,RIAU,Kab. Bengkalis
85,14,RIAU,Kab. Rokan Hilir
86,14,RIAU,Kab. Kepulauan Meranti
87,14,RIAU,Kota Pekan Baru
88,14,RIAU,Kota Dumai
